user_id,occurred_at,event_type,event_name,location,device,user_type
10522,02-05-2014 11:02,engagement,login,Japan,dell inspiron notebook,3
10522,02-05-2014 11:02,engagement,home_page,Japan,dell inspiron notebook,3
10522,02-05-2014 11:03,engagement,like_message,Japan,dell inspiron notebook,3
10522,02-05-2014 11:04,engagement,view_inbox,Japan,dell inspiron notebook,3
10522,02-05-2014 11:03,engagement,search_run,Japan,dell inspiron notebook,3
10522,02-05-2014 11:03,engagement,search_run,Japan,dell inspiron notebook,3
10612,01-05-2014 09:59,engagement,login,Netherlands,iphone 5,1
10612,01-05-2014 10:00,engagement,like_message,Netherlands,iphone 5,1
10612,01-05-2014 10:00,engagement,send_message,Netherlands,iphone 5,1
10612,01-05-2014 10:01,engagement,home_page,Netherlands,iphone 5,1
10612,01-05-2014 10:01,engagement,like_message,Netherlands,iphone 5,1
10612,01-05-2014 10:02,engagement,home_page,Netherlands,iphone 5,1
10612,01-05-2014 10:02,engagement,view_inbox,Netherlands,iphone 5,1
10612,01-05-2014 10:03,engagement,like_message,Netherlands,iphone 5,1
10612,01-05-2014 10:03,engagement,home_page,Netherlands,iphone 5,1
10612,01-05-2014 10:04,engagement,send_message,Netherlands,iphone 5,1
10612,01-05-2014 10:04,engagement,like_message,Netherlands,iphone 5,1
10612,01-05-2014 10:05,engagement,send_message,Netherlands,iphone 5,1
10736,09-05-2014 17:52,engagement,login,Austria,iphone 4s,2
10736,09-05-2014 17:53,engagement,like_message,Austria,iphone 4s,2
10736,09-05-2014 17:53,engagement,send_message,Austria,iphone 4s,2
10965,15-05-2014 13:52,engagement,login,Finland,windows surface,3
10965,15-05-2014 13:53,engagement,home_page,Finland,windows surface,3
11020,08-05-2014 09:15,engagement,login,Japan,macbook air,2
11020,08-05-2014 09:15,engagement,home_page,Japan,macbook air,2
11020,08-05-2014 09:16,engagement,view_inbox,Japan,macbook air,2
11020,08-05-2014 09:16,engagement,home_page,Japan,macbook air,2
11020,08-05-2014 09:17,engagement,view_inbox,Japan,macbook air,2
11020,08-05-2014 09:17,engagement,send_message,Japan,macbook air,2
11020,08-05-2014 09:18,engagement,view_inbox,Japan,macbook air,2
11020,08-05-2014 09:19,engagement,like_message,Japan,macbook air,2
11037,01-05-2014 07:25,engagement,login,United Kingdom,iphone 4s,1
11037,01-05-2014 07:25,engagement,like_message,United Kingdom,iphone 4s,1
11037,01-05-2014 07:26,engagement,home_page,United Kingdom,iphone 4s,1
11037,01-05-2014 07:26,engagement,like_message,United Kingdom,iphone 4s,1
11037,01-05-2014 07:26,engagement,home_page,United Kingdom,iphone 4s,1
11037,01-05-2014 07:27,engagement,view_inbox,United Kingdom,iphone 4s,1
11037,01-05-2014 07:28,engagement,home_page,United Kingdom,iphone 4s,1
11037,01-05-2014 07:28,engagement,like_message,United Kingdom,iphone 4s,1
11037,01-05-2014 07:25,engagement,search_autocomplete,United Kingdom,iphone 4s,1
11040,13-05-2014 07:23,engagement,login,Japan,iphone 5s,2
11040,13-05-2014 07:24,engagement,like_message,Japan,iphone 5s,2
11040,13-05-2014 07:24,engagement,home_page,Japan,iphone 5s,2
11040,13-05-2014 07:25,engagement,like_message,Japan,iphone 5s,2
11040,13-05-2014 07:26,engagement,view_inbox,Japan,iphone 5s,2
11040,13-05-2014 07:26,engagement,home_page,Japan,iphone 5s,2
11040,13-05-2014 07:27,engagement,send_message,Japan,iphone 5s,2
11040,13-05-2014 07:27,engagement,like_message,Japan,iphone 5s,2
11040,13-05-2014 07:28,engagement,home_page,Japan,iphone 5s,2
11040,13-05-2014 07:28,engagement,like_message,Japan,iphone 5s,2
11133,08-05-2014 11:13,engagement,login,India,macbook pro,2
11133,08-05-2014 11:14,engagement,home_page,India,macbook pro,2
11133,08-05-2014 11:14,engagement,like_message,India,macbook pro,2
11133,08-05-2014 11:15,engagement,home_page,India,macbook pro,2
11133,08-05-2014 11:15,engagement,send_message,India,macbook pro,2
11133,10-05-2014 12:12,engagement,login,India,kindle fire,2
11133,10-05-2014 12:12,engagement,home_page,India,kindle fire,2
11133,10-05-2014 12:13,engagement,view_inbox,India,kindle fire,2
11194,06-05-2014 16:17,engagement,login,United States,ipad mini,2
11194,06-05-2014 16:18,engagement,home_page,United States,ipad mini,2
11194,06-05-2014 16:19,engagement,view_inbox,United States,ipad mini,2
11194,06-05-2014 16:19,engagement,home_page,United States,ipad mini,2
11194,06-05-2014 16:20,engagement,send_message,United States,ipad mini,2
11194,06-05-2014 16:20,engagement,like_message,United States,ipad mini,2
11194,06-05-2014 16:18,engagement,search_autocomplete,United States,ipad mini,2
11212,06-05-2014 07:29,engagement,login,France,macbook pro,3
11212,06-05-2014 07:30,engagement,send_message,France,macbook pro,3
11212,06-05-2014 07:31,engagement,home_page,France,macbook pro,3
11212,06-05-2014 07:30,engagement,search_autocomplete,France,macbook pro,3
11212,06-05-2014 07:30,engagement,search_autocomplete,France,macbook pro,3
11212,06-05-2014 07:31,engagement,search_autocomplete,France,macbook pro,3
11212,06-05-2014 13:41,engagement,login,France,nexus 7,3
11212,06-05-2014 13:42,engagement,home_page,France,nexus 7,3
11212,06-05-2014 13:42,engagement,like_message,France,nexus 7,3
11212,06-05-2014 13:43,engagement,home_page,France,nexus 7,3
11212,06-05-2014 13:42,engagement,search_autocomplete,France,nexus 7,3
11212,06-05-2014 13:43,engagement,search_autocomplete,France,nexus 7,3
11212,06-05-2014 13:43,engagement,search_autocomplete,France,nexus 7,3
11212,06-05-2014 13:43,engagement,search_autocomplete,France,nexus 7,3
11215,02-05-2014 15:00,engagement,login,Iran,nexus 5,3
11215,02-05-2014 15:00,engagement,like_message,Iran,nexus 5,3
11227,06-05-2014 11:12,engagement,login,Germany,samsung galaxy s4,1
11227,06-05-2014 11:13,engagement,home_page,Germany,samsung galaxy s4,1
